서명,저자,출판사,발행년,자료유형,소장처
譯匙 退溪全書 1,이황,퇴계학연구원,2024,단행본,중앙도서관 [ ]정리중
譯匙 退溪全書2,이황,퇴계학연구원,2024,단행본,중앙도서관 [ ]정리중
譯匙 退溪全書3,이황,퇴계학연구원,2024,단행본,중앙도서관 [ ]정리중
譯匙 退溪全書4,이황,퇴계학연구원,2024,단행본,중앙도서관 [ ]정리중
통섭학의 거인 여암 신경준,김슬옹,인쇄향출판부,2024,단행본,중앙도서관 [ ]정리중
한국사회의 불평등과 공정성,조윤직,문우사,2024,단행본,중앙도서관 [ ]정리중
한국독립운동 인명사전 제 18권,한국독립운동인명사전 편찬위원회,독립기념관,2024,단행본,중앙도서관 [ ]정리중
한국독립운동 인명사전 제 19권,한국독립운동인명사전 편찬위원회,독립기념관,2024,단행본,중앙도서관 [ ]정리중
한국독립운동 인명사전 제 20권,한국독립운동인명사전 편찬위원회,독립기념관,2024,단행본,중앙도서관 [ ]정리중
한국독립운동 인명사전 제 21권,한국독립운동인명사전 편찬위원회,독립기념관,2024,단행본,중앙도서관 [ ]정리중
한국독립운동 인명사전 제 22권,한국독립운동인명사전 편찬위원회,독립기념관,2024,단행본,중앙도서관 [ ]정리중
한국독립운동 인명사전 제 23권,한국독립운동인명사전 편찬위원회,독립기념관,2024,단행본,중앙도서관 [ ]정리중
한국독립운동 인명사전 제 24권,한국독립운동인명사전 편찬위원회,독립기념관,2024,단행본,중앙도서관// [ ]정리중 선택
한국독립운동 인명사전 제 25권,한국독립운동인명사전 편찬위원회,독립기념관,2024,단행본,중앙도서관 [ ]정리중
체부Ⅱ,나봉주,박영사,2024,단행본,중앙도서관 [ ]정리중
대원만 정도 광명,닝마파 조사,문진,2024,단행본,중앙도서관 [ ]정리중
"그날, 신혼의 단꿈은 깨지고",국립순천대학교 10.19연구소,심미안,2024,단행본,중앙도서관 [ ]정리중
한국기독교교회협의회100년사,안교성,한국기독교교회협의회,2024,단행본,중앙도서관 [ ]정리중
한국기독교사회운동사1,강성호,한국기독교교회협의회,2024,단행본,중앙도서관 [ ]정리중
